"TCGA.AF.2687.01"	"TCGA.AF.2690.01"	"TCGA.AF.2693.01"	"TCGA.AF.3911.01"	"TCGA.AF.4110.01"	"TCGA.AF.5654.01"	"TCGA.AF.6136.01"	"TCGA.AF.6655.01"	"TCGA.AF.6672.01"	"TCGA.AF.A56K.01"	"TCGA.AF.A56L.01"	"TCGA.AF.A56N.01"	"TCGA.AG.3591.01"	"TCGA.AG.3592.01"	"TCGA.AG.3725.01"	"TCGA.AG.3731.01"	"TCGA.AG.3732.01"	"TCGA.AG.3742.01"	"TCGA.AG.4021.01"	"TCGA.AG.4022.01"	"TCGA.AH.6544.01"	"TCGA.AH.6547.01"	"TCGA.AH.6549.01"	"TCGA.AH.6643.01"	"TCGA.AH.6644.01"	"TCGA.AH.6897.01"	"TCGA.AH.6903.01"	"TCGA.BM.6198.01"	"TCGA.CI.6619.01"	"TCGA.CI.6620.01"	"TCGA.CI.6621.01"	"TCGA.CI.6622.01"	"TCGA.CI.6623.01"	"TCGA.CI.6624.01"	"TCGA.CL.4957.01"	"TCGA.CL.5917.01"	"TCGA.CL.5918.01"	"TCGA.DC.4745.01"	"TCGA.DC.4749.01"	"TCGA.DC.5337.01"	"TCGA.DC.5869.01"	"TCGA.DC.6154.01"	"TCGA.DC.6155.01"	"TCGA.DC.6156.01"	"TCGA.DC.6157.01"	"TCGA.DC.6158.01"	"TCGA.DC.6160.01"	"TCGA.DC.6681.01"	"TCGA.DC.6682.01"	"TCGA.DC.6683.01"	"TCGA.DT.5265.01"	"TCGA.DY.A0XA.01"	"TCGA.DY.A1DC.01"	"TCGA.DY.A1DD.01"	"TCGA.DY.A1DE.01"	"TCGA.DY.A1DF.01"	"TCGA.DY.A1DG.01"	"TCGA.DY.A1H8.01"	"TCGA.EF.5830.01"	"TCGA.EF.5831.01"	"TCGA.EI.6506.01"	"TCGA.EI.6507.01"	"TCGA.EI.6508.01"	"TCGA.EI.6509.01"	"TCGA.EI.6510.01"	"TCGA.EI.6511.01"	"TCGA.EI.6512.01"	"TCGA.EI.6513.01"	"TCGA.EI.6514.01"	"TCGA.EI.6881.01"	"TCGA.EI.6882.01"	"TCGA.EI.6883.01"	"TCGA.EI.6884.01"	"TCGA.EI.6885.01"	"TCGA.EI.6917.01"	"TCGA.EI.7002.01"	"TCGA.EI.7004.01"	"TCGA.F5.6464.01"	"TCGA.F5.6465.01"	"TCGA.F5.6571.01"	"TCGA.F5.6702.01"	"TCGA.F5.6810.01"	"TCGA.F5.6811.01"	"TCGA.F5.6812.01"	"TCGA.F5.6813.01"	"TCGA.F5.6814.01"	"TCGA.F5.6861.01"	"TCGA.F5.6863.01"	"TCGA.F5.6864.01"	"TCGA.G5.6233.01"	"TCGA.G5.6235.01"	"TCGA.G5.6572.01"	"TCGA.G5.6641.01"
"hsa-mir-550a-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6893	2.2222	2.8261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-548aa-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3201"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3200"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1324	2.6068	2.9091	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3116-1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3116-2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4229	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-217"	5.2225	6.7466	5.7285	4.9767	5.3487	5.7254	5.3719	4.6497	5.5393	7.8004	7.0704	7.7597	5.0287	5.4206	5.7945	6.309	3.9453	6.6045	4.0711	6.4883	4.3344	5.8603	5.4299	4.5728	6.3327	4.7338	4.8548	3.9099	5.3873	6.421	5.8402	5.6309	5.8191	5.7914	5.7592	6.9485	5.2146	6.1737	4.7298	3.5213	7.2835	4.2846	3.2761	6.1149	6.483	5.6862	3.7738	7.3552	4.9597	5.3827	5.12	2.8669	7.2146	6.1458	5.5821	4.9469	6.5404	6.1352	5.5134	4.7694	3.4309	3.1282	6.5257	4.5998	4.3043	3.3891	4.8145	3.1491	4.7703	3.8165	3.8731	5.6695	4.7303	3.9689	6.1241	6.0825	6.413	6.1483	5.6163	6.2923	3.855	5.5729	4.9291	5.8596	6.0366	5.2834	5.0605	6.884	5.7137	4.6898	5.6729	6.0035	4.8867
"hsa-mir-214"	4.0358	4.3438	5.1664	3.2841	3.3317	3.2549	4.0109	5.0543	3.7476	5.9772	5.9565	5.3092	0.9324	3.1421	3.1733	4.8665	2.5481	3.821	4.0035	4.3458	4.6419	4.6108	4.435	4.0568	5.1139	4.5797	4.1732	4.3851	4.0055	4.9539	4.6012	4.8923	5.3545	5.2931	4.0688	4.1041	3.9808	3.7013	4.3621	4.057	4.2787	4.1109	5.0166	4.3635	4.1426	4.8619	2.5781	5.2502	5.5957	5.1087	7.1641	4.3024	5.8176	4.4848	3.8905	4.6381	3.8733	5.3478	3.9668	3.5847	3.0775	3.5528	4.0824	4.7217	3.1077	4.2891	4.1048	4.0459	4.2344	3.1463	2.8213	4.9924	4.188	3.9055	4.9368	3.6523	5.1034	4.4874	4.7061	4.7656	5.7846	4.1214	5.1628	5.3899	4.7659	3.6139	5.2767	4.6851	4.5923	4.4483	5.347	6.4505	4.8812
"hsa-mir-215"	5.1575	5.7026	10.2701	7.9126	9.8427	6.4601	11.0792	7.949	8.8215	6.6579	6.952	6.7816	7.9467	8.0294	9.9405	8.692	9.2825	7.723	5.3129	9.7725	11.5229	12.0083	8.468	6.6076	10.0142	8.7148	9.4892	10.0482	9.3813	6.5498	9.9699	10.2482	6.4055	11.4246	9.4673	6.6308	7.9544	7.826	12.5612	8.2768	8.1846	7.9401	8.5434	5.6988	9.6367	8.4483	10.9246	10.0385	6.9778	7.5549	4.6557	6.7694	6.5742	6.5038	6.9671	7.1145	6.7497	6.4762	9.5402	7.2413	12.204	6.3691	10.2282	10.2983	6.632	9.5655	13.0042	6.8513	6.2402	8.8032	12.2876	7.4053	10.8479	7.9786	8.7292	8.3226	7.5366	7.6931	4.7927	6.9154	7.691	8.3944	7.2353	5.8974	6.4364	8.8578	6.6683	7.4849	7.6547	11.9247	11.8953	6.9823	8.3517
"hsa-mir-212"	2.5323	2.4394	2.5577	2.4534	2.2782	2.4412	3.183	3.6675	1.87	3.531	2.7447	2.6918	1.33	3.3293	2.122	3.5317	1.7905	2.934	1.5734	1.9486	3.0929	2.4337	2.5198	2.3674	2.1393	3.9427	2.7796	2.4324	2.7732	3.8252	3.5914	2.1915	3.4565	3.1717	3.1297	2.929	3.2071	1.5295	2.1054	3.5015	3.8271	2.8134	4.4748	2.4431	2.9896	3.516	3.278	1.9158	2.7689	2.6249	3.3229	1.3422	2.307	1.5255	2.7851	1.5564	1.1541	2.2312	3.2142	3.3456	2.5418	2.3851	1.7815	1.9282	1.6095	2.8174	2.2943	2.1287	2.4637	3.4782	3.3366	2.681	3.8445	3.7515	4.1046	2.1171	3.6722	2.0856	1.9519	1.9346	2.3453	1.8532	2.3271	2.8655	2.1681	4.0408	2.5839	2.7476	3.0401	3.437	2.8584	3.5594	2.8584
"hsa-mir-210"	9.312	8.8075	9.131	8.599	7.9046	8.2308	8.9763	9.1945	11.3468	7.944	9.6869	9.9639	8.7934	7.9127	10.7948	8.519	3.6056	8.1174	10.3969	6.9244	9.0488	8.5346	10.0125	8.7063	7.9031	11.8088	10.1007	10.6368	8.1098	8.4203	8.1529	9.8604	8.6275	9.6419	8.5446	8.3278	7.0563	7.0747	10.4783	7.8329	8.3224	10.6759	7.9743	8.8619	6.4581	6.529	7.831	8.772	9.5086	8.6294	10.9195	11.2013	9.9739	6.3138	9.1672	7.8804	9.9417	10.2964	8.3023	8.9088	9.7363	10.7333	10.0217	10.2865	10.2118	9.4147	10.9423	8.5602	9.0693	7.6809	11.0695	8.5534	9.6865	9.4676	10.6315	10.0017	8.3889	8.384	8.6294	5.3711	9.3119	9.8887	9.5697	7.9748	8.8173	10.7978	8.7879	8.1839	8.0494	7.9414	9.1879	7.7801	8.8947
"hsa-mir-211"	0	0	0	0	0	0	0	0	0	0	0	0	0.2034	0	0.0919	0	0	0	0.2864	0	0	0	0	0	0	0	0.3554	0	0	0.1604	0	0.208	0	0	0	0	0	0	0	0	0	0.2642	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1652	0	0	0	0	0	0	0	0	0	0	0	0.7439	0	0	0	0	0	0	0.3004	0	0	0	0	0	0.1132	0	0	0	0	0	0	0	0	1.2656	0	0.3648	0.1527
"hsa-mir-4276"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-92b"	5.3758	5.8151	5.8557	5.3491	4.7328	5.2964	5.6667	6.3907	6.0136	6.1324	5.7261	4.9656	4.9531	5.5085	5.3612	5.9244	5.7298	5.0044	4.9579	4.8307	6.456	5.5809	6.3456	6.5977	4.7757	6.7235	6.7398	7.9561	6.3027	5.6554	6.4495	5.209	7.11	6.6602	6.1786	5.1476	5.6362	4.0835	3.7765	5.9176	5.574	4.3712	7.871	5.5932	4.8254	6.4346	7.2703	5.2597	7.3003	4.4614	8.7058	4.2334	5.8115	4.4374	4.4226	4.9469	6.2162	5.5845	5.3183	5.9985	5.3611	6.1825	5.3086	5.0761	5.6757	5.723	6.2363	6.3208	5.2788	6.157	8.4064	5.8743	6.9675	6.5651	7.4422	5.0943	6.6538	5.3829	5.7947	4.822	5.8555	5.8338	5.3162	5.4381	5.5436	6.6184	5.9342	5.3812	5.6135	5.7521	5.5043	6.4949	6.0193
"hsa-mir-3688"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3683"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3682"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.8888	0.6879	1.1765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3681"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3680"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4229	0.6879	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3687"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6111	1.867	1.1765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3686"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1503	0	0	0	0	0	0	0	0	0.2743	0	0	0	0.208	0	0	0	0	0	0	0	0.3927	0	0.2642	0	0	0	0	0	0	0	0	0	0	0	0	0.1638	0	0	0	0.2541	0	0.1863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3574	0	0.1801	0	0	0	0	0.1527
"hsa-mir-3684"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0.2751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3922"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7496	0.6879	0.506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3923"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4229	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3920"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4229	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3921"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3927"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3924"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3925"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.2674	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-4251"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3928"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2269	1.5023	1.4224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-3929"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-4255"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-4254"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-4257"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"hsa-mir-526b"	0.5346	0.4877	0	0.9704	0.5819	0	0	0.1861	0.7859	0.4229	0.2674	0.2751	0	0	0.0919	0.9621	0	0	0.1503	0.1563	0	0.1916	0.7454	0	0.5116	0	0	0.2743	0.9571	0	0	0.3898	0.3011	0.2067	0	0	0	0.4255	0.8174	0.5552	0	0	0.9747	0.1329	0	0	0	0.7051	0.2723	0.6993	0	0	0.3095	0.2831	0	0	0	0	0	0.688	0	0	0.248	0.1809	0	0.6825	0.2573	0.2926	0.4034	0.4084	1.0961	0	0.6727	0.2247	0	0.2899	0.1503	0.5129	0.4421	0.2835	0.316	0.5216	0.2233	0.3072	0	0.6435	0.4851	0	0.445	0.3034	0.2095	0.3648	0
"hsa-mir-1227"	0	0	0	0	0.1689	0	0	0	0	0	0	0	0.2034	0	0.0919	0.1833	0	0.3806	0.1503	0.1563	0	0	0.2254	0	0	0.5353	0	0	0.2489	0.1604	0.1959	0	0	0	0	0	0	0	0	0	0.2059	0.2642	0	0.2545	0.1876	0	0	0	0	0	0	0	0.3095	0	0	0	0	0	0.6578	0	0.1863	0.2339	0	0.1809	0.3708	0	0	0	0.1119	0	0.4639	0	0	0	0.5489	0	0	0	0.2379	0	0.1132	0	0	0	0	0	0.2628	0.1801	0.1248	0	0	0	0
"hsa-mir-1226"	1.5577	0.2644	0.432	0.8042	0	2.3546	0	0.4989	0.6812	0.2269	0.6879	1.4224	0	0.794	0.3368	0.6246	0.707	0	0.9094	0	0.8921	0.512	1.5161	1.1143	0.8886	2.1998	1.2611	0.5047	2.5127	1.3386	2.0195	0.8283	0.3011	0.6927	1.5549	0.2965	0.418	0	0.4658	0.8337	1.5064	1.0035	0.5681	0.6589	0.3535	0.6229	0.9959	0.1713	1.4124	1.3807	1.7012	0.3863	1.5432	0.7846	0.1638	0.4478	1.7118	0.944	1.8088	2.2222	1.1637	1.3696	0.248	0.9525	1.3018	1.0059	0.4756	1.0871	0.5694	0.9867	1.5342	0.3049	0.9192	1.4249	0.9455	0.5312	0.7301	0.4239	1.2836	0.5203	1.2557	1.6005	0.8774	0.4393	0	1.4257	0.8474	1.6448	0.1248	0	0.5547	1.005	1.1558
